Product Name,SKU,Category,Brand,Unit,Price
OG Kush 3.5g,UP-001,Pre-Rolls,Kush Co,Gram,22.00
Sour Diesel 3.5g,UP-002,Edibles,Cloud9 Labs,Gram,29.00
Gelato 3.5g,UP-003,Vapes,Nebula Extracts,Gram,36.00
Wedding Cake 3.5g,UP-004,Concentrates,Sungrown Farms,Gram,43.00
GDP 3.5g,UP-005,Flower,Kush Co,Gram,50.00
Pineapple Express 3.5g,UP-006,Pre-Rolls,Cloud9 Labs,Gram,57.00
Northern Lights 3.5g,UP-007,Edibles,Nebula Extracts,Gram,64.00
Runtz 3.5g,UP-008,Vapes,Sungrown Farms,Gram,16.00
Zkittlez 3.5g,UP-009,Concentrates,Kush Co,Gram,23.00
Blue Dream 3.5g,UP-010,Flower,Cloud9 Labs,Gram,30.00
OG Kush 3.5g,UP-011,Pre-Rolls,Nebula Extracts,Gram,37.00
Sour Diesel 3.5g,UP-012,Edibles,Sungrown Farms,Gram,44.00
